ID,IntDate,Mode,STATE,state_name,ced_aec ,ced_abs,ced_name,ced_2016lab2ppshare,ced_type,ced_medianincome,GCCSA,ID_2016,sampsrc,accesstype,PANEL_FLAG,citizen,A1,A2_1,A2_2,A2_3,A2_4,A3,A4_1,A4_2,A4_3,A4_4,A4_5,A4_6,A5,A6,A7_1,A7_2,A7_3,A7_4,A7_5,A7_6,A7_7,A7_8,A8_1,A8_2,A8_3,A8_4,A8_5,A8_6,A8_7,A9,A10,A11,A12_Order,A12_1,A12_2,A12_3,A12_4,A12_5,A12_8,A12_6,A12_7,A13_Order,A13_1,A13_2,A13_4,A13_5,A13_6,B1,B1_other,B2,B3,B4,B5,B6,B7,B8_1,B8_2,B8_3,B8_4,B8_5,B9_1,B9_1_other,B9_2,B9_2_other,B10,B11_1,B11_2,lab2pp,B12,B13,B13A,B14,B15_1,B15_2,B15_3,B15_4,B15_5,B15_6,B15_7,B15_8,B16,B17,B18_1,B18_2,B18_3,B18_4,B19_1,B19_2,B20_1,B20_2,B21_1,B21_2,C1_1,C1_2,C1_3,C1_4,C1_5,C2_Order,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,C2_7,C2_8,C2_9,C3_Order,C3_1,C3_2,C3_3,C3_4,C3_5,C3_6,C3_7,C3_8,C3_9,C4,C5,C6,C7,C8_1,C8_2,C8_3,C8_4,C8_5,C8_6,C9,C10,C11,C12,C13_Order,C13_1,C13_2,C13_3,C13_4,D1_Order,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D1_7,D1_8,D1_9,D1_10,D2_Order,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,D2_10,D3_1_Order,D3_1,D3_2_Order,D3_2,D4_1,D4_2,D5_1,D5_2,D6_1,D6_2,D7_1,D7_2,D8_Order,D8_1,D8_2,D8_3,D8_4,D8_5,D8_6,D8_7,D8_8,D8_9,D8_10,D9_1,D9_2,D10_Order,D10_1,D10_2,D10_3,D10_4,D10_5,D10_6,D11_Order,D11_1,D11_2,D11_3,D12,D13,D14,E1,E2_Order,E2_1,E2_2,E2_3,E2_4,E2_5,E2_6,E2_7,E3,E4,E5,E6_Order,E6_1,E6_2,E6_3,E6_4,E6_5,E6_6,E6_7,E6_8,E7,E8_1_Order,E8_1,E8_2_Order,E8_2,E9_Order,E9_1,E9_2,E9_3,F1,F2,F3,F4,F5_Order,F5_1,F5_2,F5_3,F5_4,F5_5,F5_6,F6_Order,F6_1,F6_2,F6_3,F6_4,F7,F8_Order,F8_1,F8_2,F8_3,F8_4,F9,F10_Order,F10_1,F10_2,F10_3,F10_4,F10_5,F10_6,G1,G2,G3,education,G4,labour_force,G4_other,G5_Work,G5_Code,G5_D,G5_E,G5_F,G6,H1,gender,H2,age,age_group,H3_1,country_born,H3_2,H3_3,H4,H5_1,H5_2,H6,H6_other,H7,H8,I1,I1_other,I2_Work,I2_Code_4d,I3,I4,I5,I6,I6_other,J1,J2,J3,J4,J5,J6,income,J7,J8_1,J8_2,J8_3,J8_4,J8_5,J8_6,J8_7,J8_8,J9,W0,W1,W2,W3,W4,W5,W6,doutcome,devicetype,devicedets,dem_age_ed,dem_age4,dem_age5_16,dem_ed,dem_gen,dem_gen_16,dem_home,dem_location,dem_st6_16,dem_vo4_16,wt_crs_gnaf,wt_lo_aec,wt_lo_enrol,wt_lo_gnaf,wt_pooled,StateMap,PCODE_r,SA2_r,LGA_r,G5_A_r,G5_B_r,I2_A_r,G5_C_r,I2_B_r
219810001,22-May-19,2,8,ACT,318,801,Bean,58.9,Inner metropolitan,2036,15,1000407,1,4,1,1,1,4,2,4,2,1,1,3,4,2,4,3,1,4,1,0,0,0,0,0,0,0, , , , , , , ,1,1,4,"_6,_5,_2,_1,_3,_4,_97,_na",0,1,0,0,0,1,0,0,"_2,_3,_1,_97,_na",0,0,0,1,0,2, ,2,1,1,2,4,2,4,10,2,7,0,2, ,2, ,1, , ,2,2,6,2,1,0,0,0,0,0,1,0,0,2,1,3,8,4,5,998,998,1,1,2,1,0,9,7,7,7,"h,f,c,e,g,a,b,i,d",2,3,2,4,3,2,2,4,2,"h,f,c,e,g,a,b,i,d",1,1,1,1,1,2,2,2,2,4,2,4,4,2,2,2,2,1,1,3,2,2,4,"d,c,a,b",5,5,3,1,"f,c,e,i,a,h,g,b,d,j",1,1,1,1,2,1,1,1,1,2,"f,c,e,i,a,h,g,b,d,j",1,1,1,1,3,1,1,1,3,3,"_6,_3,_5,_9,_1,_8,_7,_2,_4,_10,_na",7,"_6,_3,_5,_9,_1,_8,_2,_4,_10,_na",8,3,5,2,3,3,4,2,2,"f,c,e,i,a,h,g,b,d,j",2,2,3,2,3,4,3,1,1,1,3,3,"b,e,a,f,d,c",3,4,1,2,3,1,"b,c,a",5,3,4,4,1,1,5,"f,g,b,a,d,c,e",4,3,5,5,5,5,3,1,1,3,"d,f,a,h,c,e,g,b",5,1,3,3,2,2,1,1,1,"_4,_3,_1,_2,_na",2,"_4,_3,_1,_2,_na",3,"b,c,a",4,3,4,2,3,3,3,"b,e,a,f,d,c",3,2,2,3,2,2,"d,c,a,b",1,2,2,5,2,"d,c,a,b",5,1,5,1,1,"b,e,a,f,d,c",1,2,2,1,1,2,17,4,4,3,5,3, ,1,2,2,3,1,1,2,2,1944,75,6,1101,1,1101,1101,2,1,1,7, ,6,2,5, ,1,1,3,1,1,2, ,1,2,1,2,5,9,2,1,0,0,0,0,0,0,1,0,1,1,4,2,1,1,2,1,1,0,8,1,1,1,1,1,1,3,11,1,2, ,2.197930899,2.715806607, ,2.850516171,1,9,9,9,9,9,9,9,9
219810003,23-May-19,2,8,ACT,101,802,Canberra ,62.9,Inner metropolitan,2091,15,1003423,1,4,1,1,2,2,2,2,4,2,2,4,4,4,2,4,3,3,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,2,1,3,"_6,_5,_1,_3,_4,_2,_97,_na",0,0,0,0,1,0,0,0,"_1,_3,_2,_97,_na",0,0,0,1,0,2, ,2,1,1,2,2,2,4,8,3,9,1,2, ,2, ,1, , ,2,2,1,2,2,1,0,0,0,0,0,0,0,3,2,5,7,2,7,2,2,998,998,2,2,1,6,5,6,6,"d,a,b,h,i,g,f,c,e",3,3,2,2,2,4,1,4,4,"d,a,b,h,i,g,f,c,e",2,2,2,2,3,2,2,3,2,4,3,1,2,2,2,2,2,2,2,3,2,2,4,"b,a,d,c",4,3,3,2,"j,d,h,e,f,i,a,b,c,g",3,2,1,1,2,1,2,2,3,2,"j,d,h,e,f,i,a,b,c,g",1,3,998,1,3,1,998,1,3,1,"_10,_4,_8,_5,_6,_9,_1,_2,_3,_7,_na",999, , ,3,4,2,2,4,4,2,2,"j,d,h,e,f,i,a,b,c,g",2,3,3,3,3,3,3,3,2,2,97,5,"d,f,e,a,b,c",3,2,1,3,3,2,"a,c,b",4,4,4,6,999,2,4,"f,a,b,g,c,e,d",3,3,3,4,2,3,4,1,1,3,"b,g,d,c,f,a,e,h",3,1,4,3,5,2,2,3,1,"_2,_1,_4,_3,_na",2,"_2,_1,_4,_3,_na",1,"a,c,b",3,4,3,3,2,2,2,"d,f,e,a,b,c",3,2,2,3,3,2,"b,a,d,c",3,5,2,3,3,"b,a,d,c",3,3,3,3,2,"d,f,e,a,b,c",1,2,1,1,1,2,18,3,4,3,5,3, ,1,4,5,2,2,2,1,1,1950,69,6,5205,2,1101,2100,2,1,1,7, ,6,3, , , , , , , , , ,1,2,2,2,5,10,2,1,0,0,0,0,0,1,0,0,1,1,999,1,1,1,2,1,1, , ,6,4,5,2,1,1,1,21,2,2, ,0.601128551,0.554902517, ,0.584611966,2,9,9,9,9,9,9,9,9
219810004,19-Jul-19,1,8,ACT,318,801,Bean,58.9,Inner metropolitan,2036,15,1005902,1,10,1,1,2,2,1,3,4,1,1,4,3,4,4,4,4,1,1,0,0,0,0,0,0,0, , , , , , , ,1,1,4,"_1,_2,_3,_4,_5,_6,_97,_na",0,0,0,0,0,0,1,0,"_1,_2,_3,_97,_na",0,0,0,1,0,1, ,2,1,2,1,2,1,8,10,1,9,0,1, ,1, ,1, , ,1,2,1,1,3,1,0,0,0,0,0,0,0,4,1,10,0,5,0,1,2,1,2,1,2,10,0,5,2,0,"a,b,c,d,e,f,g,h,i",1,1,1,1,1,1,1,1,1,"a,b,c,d,e,f,g,h,i",999,3,3,4,4,4,3,3,3,1,2,3,4,2,2,2,2,1,999,3,1,2,5,"a,b,c,d",999,5,5,2,"a,b,c,d,e,f,g,h,i,j",2,1,2,3,2,1,2,3,3,1,"a,b,c,d,e,f,g,h,i,j",2,2,2,2,2,2,2,2,2,2,"_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_na",999,"_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,", ,3,2,2,2,4,3,2,1,"a,b,c,d,e,f,g,h,i,j",2,2,3,2,2,4,1,3,3,5,97,97,"a,b,c,d,e,f",999,1,3,5,1,4,"a,b,c",3,3,3,5,1,1,3,"a,b,c,d,e,f,g",3,2,2,4,3,1,3,2,3,4,"a,b,c,d,e,f,g,h",2,5,1,3,1,2,2,5,4,"_1,_2,_3,_4,_na",1,"_1,_2,_3,_4,_na",4,"a,b,c",2,3,3,2,3,2,3,"a,b,c,d,e,f",3,3,3,3,3,1,"a,b,c,d",2,4,2,2,3,"a,b,c,d",4,1,4,1,4,"a,b,c,d,e,f",1,1,1,999,2,1,15,0,1,1,5,3, ,1,6,5,2,2,2,2,2,1941,78,6,1101,1,1101,1101,2,998,998,1, ,6,2,5, ,1,3,2,1,2,1, ,1,2,2,999,5,1,1,1,0,0,0,0,0,0,1,0,1,1,2,1,1,1,2,1,1,2,6,2,3,3,1,1,1,1,12,1,2, ,0.855628677,0.832152675, ,0.607990673,1,9,9,9,9,9,9,9,9
219810005,22-May-19,2,8,ACT,101,802,Canberra ,62.9,Inner metropolitan,2091,15,1006956,1,1,1,1,2,1,3,3,1,2,2,4,4,2,2,4,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4,3,4,"_6,_2,_4,_5,_1,_3,_97,_na",1,1,0,0,0,0,0,0,"_3,_2,_1,_97,_na",0,0,0,1,0,2, ,2,1,1,4,3,3,2,5,3,6,5,2, ,2, ,1, , ,2,1,1,2,2,1,0,0,0,0,0,0,0,4,3,3,7,0,2,2,998,2,2,998,1,2,5,2,2,0,"i,b,h,e,d,a,f,g,c",3,3,3,3,3,3,3,3,3,"i,b,h,e,d,a,f,g,c",2,2,3,3,999,3,2,3,2,2,1,2,2,2,2,1,1,1,1,3,4,3,3,"d,b,c,a",3,2,2,2,"d,e,j,f,c,i,g,h,b,a",2,2,2,2,1,2,2,1,1,2,"d,e,j,f,c,i,g,h,b,a",1,1,3,3,3,1,1,1,1,1,"_4,_5,_10,_6,_3,_9,_7,_8,_2,_1,_na",4,"_5,_10,_6,_3,_9,_7,_8,_2,_1,_na",6,3,3,2,2,2,2,1,1,"d,e,j,f,c,i,g,h,b,a",3,3,3,2,2,3,2,2,2,2,3,97,"f,b,d,e,a,c",3,2,2,3,3,2,"c,b,a",5,3,4,2,3,3,1,"b,g,d,c,e,a,f",3,3,5,4,4,4,4,1,1,2,"h,a,f,b,c,e,g,d",1,1,1,3,4,1,2,1,2,"_4,_2,_3,_1,_na",1,"_4,_2,_3,_1,_na",3,"c,b,a",4,4,4,2,2,2,1,"f,b,d,e,a,c",3,3,3,3,3,3,"d,b,c,a",2,4,1,2,1,"d,b,c,a",5,1,5,1,2,"f,b,d,e,a,c",1,998,998,1,1,998,16,2,7,2,1,1, ,1,5,5,3,2,1,1,1,1969,50,5,1101,1,3104,3104,2,2,2,1, ,6,2,5, ,1,2,3,1,1,2, ,2,2,2,2,5,14,3,2,0,0,0,0,0,0,1,0,1,1,2,2,1,1,1,1,1,0,12,3,4,5,1,1,1,1,21,2,1, ,0.588597131,0.565957032, ,0.31081618,2,9,9,9,9,9,9,9,9
219810007,24-May-19,2,8,ACT,101,802,Canberra ,62.9,Inner metropolitan,2091,15,1008963,1,1,1,1,1,4,4,1,2,1,1,4,2,2,3,3,4,3,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,2,"_6,_5,_2,_4,_1,_3,_97,_na",1,0,0,0,0,1,0,0,"_3,_2,_1,_97,_na",0,0,0,1,0,4, ,1,1,1,2,5,1,0,10,5,10,0,4, ,4, ,1,2,2,2,1,3,4,4,0,0,1,0,0,0,0,0,3,2,0,7,0,10,998,998,998,998,2,1,0,8,0,8,8,"c,h,d,g,b,f,i,a,e",3,3,3,3,3,4,3,3,4,"c,h,d,g,b,f,i,a,e",2,1,2,2,2,2,2,3,2,4,3,3,3,1,2,1,1,1,1,4,1,1,3,"b,a,c,d",4,2,2,1,"f,d,c,h,b,g,a,e,j,i",1,2,1,1,3,2,1,1,2,2,"f,d,c,h,b,g,a,e,j,i",1,1,1,1,1,1,1,1,1,1,"_6,_4,_3,_8,_2,_7,_1,_5,_10,_9,_na",8,"_6,_4,_3,_2,_7,_1,_5,_10,_9,_na",4,3,3,2,2,3,3,2,2,"f,d,c,h,b,g,a,e,j,i",2,1,2,3,2,4,3,2,2,1,2,2,"f,c,e,a,b,d",4,5,1,2,5,2,"c,b,a",4,4,4,3,1,1,5,"b,d,c,f,g,e,a",5,3,5,5,4,5,5,1,1,3,"b,f,e,a,h,c,g,d",5,3,5,2,5,2,1,1,1,"_2,_1,_3,_4,_na",2,"_2,_1,_3,_4,_na",4,"c,b,a",5,5,5,3,2,2,3,"f,c,e,a,b,d",3,2,2,3,3,2,"b,a,c,d",3,2,2,3,3,"b,a,c,d",5,1,5,1,1,"f,c,e,a,b,d",1,2,2,998,998,1,17,4,3,3,2,1, ,1,2,5,3,2,1,2,2,1970,49,4,1101,1,1101,1101,2,2,2,7, ,3,2,1, ,1,1,3,1,1,4, ,2,2,2,2,5,21,4,1,0,0,0,0,0,0,1,0,1,1,3,2,1,2,2,1,1, , ,6,4,5,2,1,1,1,22,2,1, ,1.258256123,1.201034718, ,0.88487807,2,9,9,9,9,9,9,9,9
219810008,16-Jul-19,1,8,ACT,101,802,Canberra ,62.9,Inner metropolitan,2091,15,1009513,1,10,1,1,1,1,1,1,999,1,1,999,2,4,4,4,4,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,3,1,4,"_1,_2,_3,_4,_5,_6,_97,_na",0,0,0,0,0,0,1,0,"_1,_2,_3,_97,_na",0,0,0,1,0,1, ,2,1,4,1,2,1,8,8,0,8,0,1, ,1, ,1, , ,1,2,1,5,1,0,1,0,0,0,1,0,0,2,1,8,0,8,0,1,2,1,2,1,2,9,0,7,0,0,"a,b,c,d,e,f,g,h,i",2,2,2,2,1,1,1,2,2,"a,b,c,d,e,f,g,h,i",4,3,4,4,3,4,4,4,4,1,3,3,3,999,1,999,999,1,999,3,2,2,1,"a,b,c,d",3,4,4,2,"a,b,c,d,e,f,g,h,i,j",3,1,1,3,2,1,2,3,3,1,"a,b,c,d,e,f,g,h,i,j",2,2,2,2,2,2,2,3,3,2,"_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_na",999,"_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,", ,5,4,2,2,5,5,3,3,"a,b,c,d,e,f,g,h,i,j",3,2,3,1,2,2,2,3,3,3,2,5,"a,b,c,d,e,f",2,1,1,5,1,3,"a,b,c",4,5,5,5,2,2,4,"a,b,c,d,e,f,g",2,1,1,1,1,1,1,2,4,4,"a,b,c,d,e,f,g,h",3,5,2,4,1,2,4,5,3,"_1,_2,_3,_4,_na",4,"_1,_2,_3,_4,_na",2,"a,b,c",1,3,2,1,4,1,2,"a,b,c,d,e,f",3,3,1,3,3,2,"a,b,c,d",2,4,2,1,5,"a,b,c,d",2,4,2,2,4,"a,b,c,d,e,f",1,2,2,1,2,2,87,12,6,2,5,3, ,1,1,1,1,1,2,1,1,1935,84,6,1101,1,1101,1101,2,1,1,5, ,2,4, , , , , , , , , ,1,2,2,3,5,2,1,3,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,1,1,0,8,6,4,5,2,1,1,1,21,2,2, ,0.37081431,0.364586859, ,0.404799999,2,9,9,9,9,9,9,9,9
219810009,21-May-19,2,8,ACT,101,802,Canberra ,62.9,Inner metropolitan,2091,15,1015480,1,9,1,1,1,3,1,2,1,1,2,4,4,4,4,4,4,4,1,0,0,0,0,0,0,0, , , , , , , ,1,1,3,"_5,_6,_4,_1,_3,_2,_97,_na",0,0,0,0,0,1,0,0,"_1,_3,_2,_97,_na",0,0,0,1,0,1, ,2,1,2,2,2,3,6,7,4,8,3,1, ,1, ,2, , ,1,2,6,1,1,0,0,1,0,0,0,0,0,4,4,2,2,1,1,2,2,1,2,2,1,1,6,1,9,3,"g,c,a,d,i,h,f,b,e",3,3,2,2,2,3,3,3,3,"g,c,a,d,i,h,f,b,e",3,2,3,2,3,2,3,3,2,4,4,1,2,2,2,2,2,2,2,4,3,2,4,"c,a,b,d",2,2,2,2,"a,d,i,j,b,g,c,h,e,f",1,2,2,1,1,1,3,2,1,1,"a,d,i,j,b,g,c,h,e,f",2,2,3,1,3,3,2,1,2,2,"_1,_4,_9,_10,_2,_7,_3,_8,_5,_6,_na",9,"_1,_4,_10,_2,_7,_3,_8,_5,_6,_na",10,3,4,3,3,3,4,2,3,"a,d,i,j,b,g,c,h,e,f",2,2,3,4,3,2,3,2,2,4,4,2,"a,e,d,f,b,c",4,2,1,2,2,2,"a,c,b",5,3,2,5,3,3,4,"a,g,d,b,e,f,c",3,3,4,3,3,4,3,1,1,1,"g,b,f,c,d,a,e,h",4,2,2,4,2,1,2,1,1,"_3,_1,_2,_4,_na",4,"_3,_1,_2,_4,_na",1,"a,c,b",2,4,4,3,3,1,2,"a,e,d,f,b,c",3,3,3,3,3,2,"c,a,b,d",2,4,2,2,3,"c,a,b,d",2,2,4,2,2,"a,e,d,f,b,c",1,2,2,998,1,1,16,2,7,2,5,3, ,1,2,5,1,1,2,1,1,1946,73,6,1101,1,1101,1101,2,998,998,7, ,6,2,1, ,1,1,2,1,2,2, ,1,1,1,2,5,23,5,5,0,0,0,0,0,0,1,0,1,1,2,1,2,1,2,1,1,2,6,3,4,5,1,2,1,1,21,2,1, ,0.588597131,0.565957032, ,0.282099542,2,9,9,9,9,9,9,9,9
219810010,1-Jul-19,2,8,ACT,318,801,Bean,58.9,Inner metropolitan,2036,15,1017262,1,1,1,1,2,999,2,2,3,2,2,4,4,4,4,4,4,3,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,2,1,3,"_6,_1,_3,_2,_4,_5,_97,_na",0,0,0,0,0,0,1,0,"_3,_1,_2,_97,_na",0,0,0,1,0,2, ,2,2,6,4,2,3,5,7,3,8,3,2, ,2, ,2, , ,2,2,6,2,2,1,0,0,0,0,0,0,0,5,4,4,7,2,7,2,2,2,2,2,1,4,4,5,7,5,"f,c,a,g,i,d,b,e,h",2,2,3,2,3,3,3,3,3,"f,c,a,g,i,d,b,e,h",3,2,4,2,3,3,2,3,3,3,2,1,2,2,2,2,2,1,1,4,4,3,4,"c,b,d,a",1,3,2,1,"a,e,h,g,c,b,j,i,d,f",1,2,1,1,2,1,2,1,1,1,"a,e,h,g,c,b,j,i,d,f",3,3,1,1,1,1,3,1,3,3,"_1,_5,_8,_7,_3,_2,_10,_9,_4,_6,_na",6,"_1,_5,_8,_7,_3,_2,_10,_9,_4,_na",8,3,3,2,2,4,4,2,2,"a,e,h,g,c,b,j,i,d,f",2,3,4,3,2,5,3,3,4,3,3,3,"c,a,d,e,f,b",2,3,1,2,3,2,"c,a,b",4,3,3,5,2,3,3,"f,e,d,c,g,b,a",4,3,1,4,3,1,2,1,1,3,"g,d,f,c,e,a,h,b",2,2,2,4,4,1,2,2,3,"_3,_2,_4,_1,_na",3,"_3,_2,_4,_1,_na",2,"c,a,b",2,4,2,3,2,1,1,"c,a,d,e,f,b",3,2,1,3,3,2,"c,b,d,a",2,4,2,3,3,"c,b,d,a",2,4,3,3,1,"c,a,d,e,f,b",998,998,998,998,998,998,18,0,1,1,2,1, ,1,5,5,2,2,2,2,2,1982,37,3,1101,1,1101,1101,2,2,2,7, ,6,2,1, ,1,4,3,1,2,6, ,2,1,2,2,5,19,4,3,0,0,0,0,0,0,1,0,1,1,999,2,1,1,1,1,1,1,1,5,3,4,2,1,1,1,11,1,1, ,0.257474168,0.441907118, ,0.525588879,1,9,9,9,9,9,9,9,9
219810011,29-May-19,2,8,ACT,102,803,Fenner,61.8,Inner metropolitan,2066,15,1017790,1,5,1,1,2,999,1,999,999,1,1,999,999,999,999,999,2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,3,"_2,_4,_5,_1,_3,_6,_97,_na",0,0,0,0,0,0,1,0,"_3,_2,_1,_97,_na",0,0,0,1,0,2, ,2,1,5,2,5,3,5,5,5,7,9,2, ,2, ,2, , ,2,2,2,2,1,0,1,1,0,0,1,0,0,4,1,5,5,4,3,2,2,2,998,2,2,7,6,5,0,5,"i,h,e,a,f,g,d,b,c",1,1,1,1,2,1,1,1,2,"i,h,e,a,f,g,d,b,c",1,1,1,1,3,1,1,3,2,4,2,1,2,2,2,2,2,1,2,4,4,3,5,"b,a,d,c",1,3,2,1,"b,a,f,h,d,j,g,i,e,c",1,1,1,1,1,2,1,2,1,1,"b,a,f,h,d,j,g,i,e,c",2,2,2,3,2,1,2,3,2,2,"_2,_1,_6,_8,_4,_10,_7,_9,_5,_3,_na",6,"_2,_1,_8,_4,_10,_7,_9,_5,_3,_na",9,4,4,2,1,4,3,2,2,"b,a,f,h,d,j,g,i,e,c",1,2,3,3,2,2,1,1,1,999,999,2,"f,e,b,a,d,c",2,1,1,1,2,2,"c,b,a",5,4,4,6,2,2,3,"f,d,e,c,a,g,b",3,3,2,4,3,1,4,1,1,1,"b,c,d,g,f,e,h,a",3,2,1,3,3,2,2,1,4,"_2,_1,_4,_3,_na",2,"_2,_1,_4,_3,_na",3,"c,b,a",2,5,4,1,4,1,1,"f,e,b,a,d,c",3,3,2,3,1,1,"b,a,d,c",2,2,3,2,4,"b,a,d,c",2,3,4,2,2,"f,e,b,a,d,c",1,2,2,1,2,1,16,0,1,1,5,3, ,1,2,5,2,2,2,2,2,1948,71,6,1101,1,1101,1101,2,2,2,2, ,4,2,1, ,1,1,3,1,2,6, ,2,2,2,4,5,14,3,1,0,0,0,0,0,0,1,0,1,2,2,2,1,1,2,1,1,0,12,1,1,1,1,2,2,3,31,3,3, , ,1.168392473,3.465015833,0.734970954,3,9,9,9,9,9,9,9,9
219810012,23-May-19,2,8,ACT,101,802,Canberra ,62.9,Inner metropolitan,2091,15,1017845,1,1,1,1,3,4,4,1,1,1,1,3,4,4,4,4,4,999,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,2,1,3,"_5,_2,_4,_1,_3,_6,_97,_na",1,1,0,0,0,0,0,0,"_3,_2,_1,_97,_na",0,0,0,1,0,2, ,2,1,6,3,4,1,3,8,2,10,0,2, ,2, ,1, , ,2,2,1,2,2,0,0,0,0,1,1,0,0,3,1,4,8,2,6,998,998,1,2,1,1,4,6,5,7,5,"i,h,c,e,b,g,a,f,d",2,3,2,2,2,2,2,4,2,"i,h,c,e,b,g,a,f,d",2,2,2,2,2,2,2,3,2,3,2,2,2,1,1,2,1,1,2,2,1,3,4,"c,d,b,a",5,3,3,2,"i,c,b,e,f,j,d,h,g,a",3,1,2,1,3,2,1,1,3,2,"i,c,b,e,f,j,d,h,g,a",998,1,1,1,998,998,1,1,2,998,"_9,_3,_2,_5,_6,_10,_4,_8,_7,_1,_na",4,"_9,_3,_2,_5,_6,_10,_8,_7,_1,_na",8,2,3,2,2,3,3,2,2,"i,c,b,e,f,j,d,h,g,a",3,3,3,3,3,3,3,1,3,3,2,3,"c,a,b,d,f,e",4,3,2,4,3,3,"c,b,a",3,3,3,8,2,2,5,"e,f,g,a,c,d,b",3,2,3,4,999,5,3,1,1,4,"c,h,f,d,b,e,g,a",5,4,3,3,2,1,2,3,2,"_3,_4,_2,_1,_na",999, , ,"c,b,a",4,5,5,3,3,2,2,"c,a,b,d,f,e",3,3,2,3,3,2,"c,d,b,a",2,2,2,3,2,"c,d,b,a",4,2,4,2,1,"c,a,b,d,f,e",998,1,998,1,2,1,17,3,3,3,2,1, ,1,2,5,3,1,1,2,2,1982,37,3,1101,1,1101,1101,2,1,1,7, ,6,2,1, ,1,1,3,1,2,2, ,2,2,2,2,5,21,4,1,0,0,0,0,0,0,1,0,1,1,3,1,3,1,2,1,1,0,12,6,4,5,2,2,2,1,21,2,2, ,0.937210492,0.645829276, ,0.530263897,2,9,9,9,9,9,9,9,9
